,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,,,Perinatally HIV infected,Perinatally HIV infected,,Perinatally HIV exposed uninfected,,Perinatally HIV exposed uninfected,Perinatally HIV exposed uninfected,,,HIV unexposed uninfected,,
1,Fatty acids,Quartiles,Adjusted LSM,SE,Mean diff,95 % CI,Adjusted LSM,SE, Mean diff,95 % CI,Adjusted LSM,SE, Mean diff,95 % CI,FA x HIV
2,SFA Arachidic,Quartile1,0.60,0.24,0.54,"0.03, 1.06*",0.01,0.21,0.47,"041, 134",0.85,0.14,0.41,"0.99,0.16",0.027
3,SFA Arachidic,Quartile 3,1.12,0.19,0.02,"0.43, 0.47",0.43,0.23,0.02,"0.87, 0.90",0.45,0.16,0.00,"0.59, 0.58",0.027
4,,Quartile 3,-1.01,0.22,0.13,"036, 063",0.74,0.22,0.28,"115,059",0.35,0.21,0.10,"054, 074",
5,,Quartile 4,-1.15,0.12,Ref,,0.46,0.39,Ref,,0.45,0.26,Ref,,
6,ALA,Quartile 1,0.96,0.19,0.12,"0.29, 0-52",0.02,0.27,0.33,"094, 016",0.69,0.15,0.38,"0.75, 0.00",0.10
7,,Quartile 2,0.96,0.14,0.12,"0.29, 0-52",0.74,0.15,0.39,"094, 016",0.69,0-24,0.32,"085,021",
8,,"Quartiles (3, 4)",1.08,0.15,Ref,,0.35,0.19,Ref,,0.37,0.13,Ref,,
9,EPA,Quartiles,0.92,0.14,0.20,"0.23, 0.63",0.41,0.19,0.50,"108, 009",0.62,0-13,0.39,"0.88, 0.10",0.09
10,,Quartile3,1.12,0.18,0.00,"0.49, 0.48",0.91,0.22,1.00,"163, -037*",0.57,0.18,0.34,"0.89, 0.20",
11,,Quartile 4,0.69,0.18,Ref,"0.16, 0.94",0.09,0.24,Ref,,0.77,0-22,Ref,,
12,EPA+DHA,Quartile 1,0.69,0.26,0.39,"0.16, 0.94",0.41,0.26,0.05,"0.63, 0.53",0.77,0.14,0.34,"0.69, 0.00",0.10
13,,Quartiles,1.08,0.11,Ref,,0.36,0.15,Ref,,0.43,0.12,Ref,,
14,,"(2, 3, 4)",,,Ref,,,,,,,,Ref,,
15,n-3-index,Quartile 1,0.74,0.25,0-35,"0.17, 0.87",0.43,0.27,0.08,"0.68, 0.52",0.81,0.14,0.37,"071, 002*",0.10
16,,Quartiles,1.09,0.10,Ref,"0.17, 0.87",0.35,0.15,Ref,,-0.44,0.13,Ref,,
17,,"(2, 3, 4)",0.85,,0.27,"0.16, 0.69",,,0.63,"0.02, 1-27",0.63,,,"0.45, 0-33",0.030
18,Nervonic,Quartile 1,0.85,0.18,0.27,"0.16, 0.69",0.22,0.25,0.63,"0.02, 1-27",0.63,0-19,0.02,"0.45, 0-33",0.030
19,,Quartile 2,-1.16,0.20,0.04,"0.46, 038",0.75,0.15,0.34,"082, 013",0.27,0.22,0.34,"014, 084",
20,,Quartile 3,0.89,0.15,Ref,,0.41,0.20,Ref,,-0.61,0.13,Ref,,
