,0,1,2,3,4,5,6
0,,Plasma -tocopherol level (mol/mmol)b,,,Plasma -tocopherol level (mol/mmol)b,,
1,,Standardized beta (95% CI),P,,Standardized beta (95% CI),P,
2,Univariable,,,,,,
3,-CEHC (mol/mmol)a,"0.07 (0.02, 0.12)",,0.01,"0.05 (0.10, 0.00)",,0.07
4,Univariable,,,,,,
5,-CEHC (umol/mmol)a,"0.06 (0.02, 0.12)",,0.01,"0.04 (0.01, 0.10)",,0.1
6,Multivariable,,,,,,
7,-CEHC (mol/mmol) a,"0.06 (0.01, 0.11)",,0.01,"0.04 (0.09, 0.01)",,0.1
8,25-hydroxyvitamin D,"0.09 (0.04, 0.14)",,<0.001,"0.03 (0.08, 0.02)",,0.1
9,-CEHC (umol/mmol)a,"0.04 (0.01,0.10)",,0.1,"0.04 (0.01, 0.09)",,0.09
10,Age,"0.01 (0.04, 0.06)",,0.7,"0.07 (0.12,0.01)",,0.01
11,Male,"0.01 (0.13, 0.12)",,0.8,"0.12 (0.24, 0.01)",,0.06
12,BSA,"0.08 (0.14,0.02)",,0.01,"0.03 (0.03, 0.10)",,0.3
13,Smoking,,,,,,
14,Former,"0.05 (0.06, 0.16)",,0.5,"0.10 (0.01, 0.21)",,0.04
15,Current,"0.13 (0.30,0.04)",,0.1,"0.03 (0.14, 0.19)",,0.6
16,Never,Ref,,,Ref,,
17,SES,"0.10 (0.00, 0.21)",,0.05,"0.02 (0.12, 0.09)",,0.7
18,Total cholesterol,"0.16 (0.22,0.10)",,0.001,"0.14 (0.20,0.08)",,<0.001
19,Lipid-lowering medication,"0.25 (0.11, 0.38)",,<0.001,"0.20 (0.07, 0.34)",,0.007
20,Univariable,,,,,,
21,-CEHC (mol/24 h),"0.06 (0.01, 0.11)",,0.02,"0.04 (0.09, 0.01)",,0.1
22,Univariable,,,,,,
23,-CEHC (umol/24 h),"0.07 (0.02, 0.12)",,0.008,"0.05 (0.01, 0.10)",,0.08
24,Multivariable,,,,,,
25,-CEHC (umol/24 h),"0.06 (0.01, 0.11)",,0.02,"0.04 (0.09, 0.01)",,0.1
26,25-Hydroxyvitamin D,"0.11 (0.06, 0.16)",,<0.001,"0.02 (0.07, 0.03)",,0.1
27,-CEHC (mol/24 h),"0.05 (0.01,0.10)",,0.06,"0.04 (0.01, 0.09)",,0.1
28,Age,"0.01 (0.04, 0.06)",,0.8,"0.07 (0.12,0.02)",,0.01
29,Male,"0.03 (0.16, 0.09)",,0.6,"0.12 (0.24, 0.01)",,0.06
30,BSA,"0.09 (0.15, -0.02)",,0.004,"0.03 (0.04, 0.09)",,0.3
31,Smoking,,,,,,
32,Former,"0.05 (0.06, 0.16)",,0.4,"0.11 (0.01, 0.22)",,0.04
33,Current,"0.13 (0.30, 0.04)",,0.1,"0.02 (0.15, 0.19)",,0.6
34,Never,Ref,,,Ref,,
35,SES,"0.11 (0.01, 0.21)",,0.04,"0.04 (0.14, 0.07)",,0.7
36,Total cholesterol,"0.16 (0.22,0.10)",,<0.001,"0.13 (0.19,0.07)",,<0.001
37,Lipid-lowering medication,0.24 (0.110.38),,0.001,0.19 (0.060.33),,0.007
38,Univariable,,,,,,
39,+-CEHC (mol/24 h),"0.08 (0.03, 0.13)",,0.002,"0.0001 (0.05, 0.05)",,0.8
40,Multivariable,,,,,,
41,+-CEHC (mol/24 h),"0.07 (0.02, 0.12)",,0.007,"0.002 (0.05, 0.05)",,0.9
42,25-Hydroxyvitamin D,"0.10 (0.05, 0.15)",,<0.001,"0.04 (0.09, 0.01)",,0.09
43,Age,"0.01 (0.04, 0.06)",,0.7,"0.07 (0.12,0.02)",,0.01
44,Male,"0.03 (0.16, 0.09)",,0.6,"0.12 (0.24, 0.01)",,0.06
45,BSA,"0.09 (0.15,0.03)",,0.005,"0.03 (0.03, 0.09)",,0.3
46,Smoking,,,,,,
47,Former,"0.03 (0.08, 0.14)",,0.5,"0.12 (0.01, 0.23)",,0.04
48,Current,"0.14 (0.31, 0.03)",,0.1,"0.04 (0.12, 0.21)",,0.6
49,Never,Ref,,,Ref,,
50,SES,"0.10 (0.01,0.20)",,0.05,"0.02 (0.12, 0.08)",,0.7
51,TC,"0.16 (0.22,0.10)",,0.001,"0.14 (0.20,0.09)",,<0.001
52,Lipid-lowering medication,0.25 (0.120.39),,0.001,"0.19 (0.05, 0.32)",,0.007
