,0,1,2,3,4,5
0,ategory,,Pre-intervention,,Postintervention,No. of site
1,ietary variety,"No suitable light meal (dinner),teatime","No suitable light meal (dinner),teatime",Was able to modify the teatime options,Was able to modify the teatime options,4
2,,options for MM and PU,options for MM and PU,following IDDSI guidelines for all TMD levels,following IDDSI guidelines for all TMD levels,
3,,Only have supplement/smoothies/yogurt for,Only have supplement/smoothies/yogurt for,Added options by using a combination of,Added options by using a combination of,4
4,,MM and PU at teatime,MM and PU at teatime,commercial packaged PU dessert and freshly,commercial packaged PU dessert and freshly,
5,,,,made modified snacks,made modified snacks,
6,exture,Commercially packaged MM and PU meals,Commercially packaged MM and PU meals,Added thickened gravy to help achieve the,Added thickened gravy to help achieve the,2
7,,were too sticky,were too sticky,correct consistency,correct consistency,
8,,Meals/desserts were not cut into suitable,Meals/desserts were not cut into suitable,"Meat,vegetables,and cakes were cut into","Meat,vegetables,and cakes were cut into",3
9,,sizes for SB,,appropriate square pieces in the kitchen,appropriate square pieces in the kitchen,
10,,The soup was not blended to smooth texture,The soup was not blended to smooth texture,The soup was blended to no lumps;otherwise,The soup was blended to no lumps;otherwise,2
11,,before serving to MM and PU residents,before serving to MM and PU residents,was not served to PU,was not served to PU,
12,hickened fluids,Used thickened powder or gum as,Used thickened powder or gum as,Changed to alternative products (liquid,Changed to alternative products (liquid,2
13,,thickening agents without mixing properly;,thickening agents without mixing properly;,thickening agent or branded thickened,thickening agent or branded thickened,
14,,lumps in the drink,lumps in the drink,powder),,
15,,"Unsure about resident thickened fluid level,","Unsure about resident thickened fluid level,",Resident requirements were printed and,Resident requirements were printed and,4
16,,and no standard measurement tool or,and no standard measurement tool or,posted in the dining room; thickening,posted in the dining room; thickening,
17,,mixing proportion methods,mixing proportion methods,powder/liquid came with a standardized,powder/liquid came with a standardized,
18,,,,scoop/pump;staff were able to look up and,scoop/pump;staff were able to look up and,
19,,,,follow mixing instructions,follow mixing instructions,
