,0,1,2,3,4,5,6
0,Reference,Randomisation,Blinding,Power analysis,Placebo group,Diet characterisation,Adjustment for confounde
1,Petrakis et al.(25),No,No,No,No,No,No
2,u et al(26,No,No,No,No,Yes,No
3,Nagata et al.(27),,,No,,Yes,Yes
4,Nu et al.(28),No,No,No,No,Yes,No
5,u et al (29),No,No,No,No,Yes,Yes
6,Strom et al (3),,,No,,Partial,No
7,Jnfer et al.(31),Yes,Yes,No,Yes,No,No
8,Jnfer et al. (32),Yes,Yes,No,Yes,No,No
9,(ohama et al (33),No,No,No,Control,No,No
10,Romualdi et al (34),No,No,No,No,No,No
11,(hani et al.(35),Partial,Yes,No,Yes,No,No
12,larrell et al (36),,-,No,,Partial,No
13,Filiberto et al(37),-,-,No,-,Yes,Yes
14,lacobsen et al. (38),-,-,No,-,Yes,Yes
15,Mumford et al.(39),-,-,No,-,Yes,Yes
16,/anegas et al.(40),,-,No,-,Yes,Yes
17,Andrews et al.(41),-,-,No,-,Yes,Yes
18,Chavarro et al.(42),-,,No,-,Yes,Yes
19,lamilian et al.(43),Yes,Yes,Yes,Yes,No,Yes
20,Nesselink et al.(44),,-,No,-,Partial,Yes
21,evine et al.(45),-,-,No,-,Partial,Yes
22,Haudum et al.(46),No,No,Yes,Control,Partial,No
