,0,1,2,3
0,Treatments,Total Sugars,Reducing Sugars,Nonreducing Sugars
1,Treatments,(mg GE g-1 DW),(mg GE g-1 DW),(mg GE g-1 DW)
2,SFE+NPO,"0.38  0.03 d,e","0.292  0.02 c,d",0.10  0.01 d
3,SFE+NPSe,0.63  0.01 b,0.329  0.03 b,0.30  0.03 a
4,SFE+NPZn,0.73  0.01 a,0.393  0.04 a,0.330.01 a
5,150-50-80+NP0,0.34  0.01 f,"0.304  0.03 b,c",0.04 0.02 e
6,150-50-80+NPSe,"0.38  0.04 e,f","0.302  0.02 b,c","0.08  0.03 d,e"
7,150-50-80+NPZn,"0.42  0.04 c,d","0.268  0.02 d,e",0.15 0.02 c
8,100-60-60+NP0,0.450.03c,"0.293  0.01 c,d",0.160.03 c
9,100-60-60+NPSe,0.460.05 c,0.251  0.01 e,0.21  0.04 b
10,100-60-60 +NPZn,"0.38  0.03 d,e,f","0.291  0.03 c,d",0.09  0.02 d
