,0,1,2,3,4,5,6,7,8,9
0,,,Market Class,,Dietary Treatment,Dietary Treatment,,,Source of Variation,
1,%,Light Broiler,Medium Broiler,Heavy Broiler,Standard,Enriched, Market Class,,Dietary Treatment,
2,Total fat,1.68  0.17 a,2.91  0.19 b,4.03  0.68 c,3.13  0.78,2.62  0.65,*,*,,*
3,C14:0,0.84  0.03 a,0.70  0.04 b,0.59  0.06 c,0.74  0.10,0.68  0.12,*,NS,,*
4,C16:0,26.91  2.18,26.50  2.74,25.45  1.77,28.33  1.05,24.25  0.93,NS,*,,*
5,C18:0,8.55  0.52,8.51  0.51,8.11  0.32,8.57  0.57,8.21  0.32,NS,NS,,NS
6,C20:0,0.17  0.07,0.22  0.04,0.21  0.08,0.15  0.04,0.26  0.04,*,*,,NS
7,SFA,36.48  2.36,35.93  0.51,34.35  1.83,37.78  1.40,33.39  1.08,NS,*,,*
8,C16:1n-7,3.66  0.71,3.66  0.62,4.07  0.53,4.26  0.42,3.33  0.44,NS,NS,,NS
9,C18:1n-7,31.30  0.77,31.40  0.35,32.02  0.62,31.40  0.84,31.70  0.88,NS,NS,,NS
10,MUFA,34.96  1.28,35.00  1.60,36.09  1.63,35.66  0.95,35.04  1.01,NS,NS,,NS
11,C18:2n-6,19.79  2.89,19.16  1.19,18.26  1.76,20.08  1.08,18.06  1.64,NS,NS,,*
12,C18:3n-6,0.52  0.40,0.51  0.39,0.60  0.50,0.13  0.03,0.95  0.11,NS,NS,,NS
13,C18:3n-3,4.90  3.14 a,4.96  2.90 a,6.54  2.54 a,2.77  1.09,8.18  0.70,*,*,,*
14,C20:2n-6,0.28  0.04,0.36  0.10,0.31  0.09,0.38  0.07,0.25  0.04,NS,*,,NS
15,C20:4n-6,0.62  0.19,0.65  0.20,0.80  0.27,0.89  0.13,0.49  0.05,NS,*,,NS
16,C20:5n-3,0.30  0.24,0.29  0.23,0.44  0.29,0.11  0.05,0.58  0.12,NS,*,,NS
17,C22:6n-3,0.44  0.24,0.44  0.26,0.50  0.27,0.23  0.03,0.69  0.15,NS,*,,NS
18,PUFA,26.90  4.73 a,26.33  2.94 a,27.44  2.29 a,24.18  2.35,29.60  1.66,*,*,,*
