Treatments,"Phenols
(mg GAE g-1 DW)","Flavonoids
(mg QE g-1 DW)","Ascorbic Acid
(mg AA g-1 DW)","DPPH
(M TE g-1 DW)","ABTS
(M TE g-1 DW)"
SFE + NP0,"4.79 ± 0.26 c,d","8.02 ± 1.71 d,e",1.03  ±0.09 d,"14.95 ± 1.72 d,e",21.77 ± 2.01 d
SFE +NPSe,"5.86 ± 0.45 b,c","11.24 ± 1.52 c,d,e","1.43 ± 0.07 b,c",18.50 ± 0.46 b,26.83 ± 0.12 b
SFE + NPZn,7.64 ± 0.73 a,15.82 ± 1.69 a,"1.51 ± 0.05 a,b",23.23 ± 0.47 a,34.05 ± 0.99 a
150-50-80 + NP0,4.35 ± 0.75 d,"8.72 ± 1.60 c,d,e",1.25 ± 0.10 c,13.86 ± 0.93 e,20.56 ± 1.75 d
150-50-80+ NPSe,6.62 ± 0.46 b,16.86 ± 1.84 a,"1.54 ± 0.17 a,b",17.65 ± 0.49 b,25.62 ± 0.14 b
150-50-80+NPZn,"5.50 ± 0.58 b,c,d","12.26 ± 1.73 b,c","1.62 ± 0.18 a,b","16.42 ± 0.40 b,c",25.72 ± 0.79 b
100-60-60 + NP0,4.34 ± 0.78 d,7.75 ± 1.72 e,1.36 ± 0.07 c,"14.68 ± 1.68 d,e",22.60 ± 2.13 d
100-60-60 + NPSe,"6.06 ± 0.72 b,c","11.46 ± 1.59 c,d","1.49 ± 0.11 a,b","17.40 ± 0.77 b,c","25.36 ± 0.86 b,c"
100-60-60 + NPZn,"4.96 ± 0.75 c,d","10.32 ± 2.23 c,d,e",1.78  ±0.24 a,"15.27 ± 0.26 c,d",22.83 ± 0.31c
