,0,1,2
0,Zone of Inhibition (mm),Susceptibility profile,Antibiotic (g)
1,8.890.25f,resistant,Clindamycin (2)
2,0.000.008,resistant,Gentamicin (10)
3,0.000.00,resistant,Streptomycin (10)
4,0.000.008,resistant,Ciprofloxacin (5)
5,32.910.01a,sensitive,Penicillin (10)
6,0.000.008,resistant,Vancomycin (30)
7,12.480.56e,resistant,Novobiocin (5)
8,24.212.13c,sensitive,Cefalotin (30)
9,27.120.11b,sensitive,Ampicillin (10)
10,26.800.90b,sensitive,Cefazolin (30)
11,17.311.23d,intermediate,Ceftriaxone (30)
12,0.000.00,resistant,Nalidixic acid (30)
13,9.380.21f,resistant,Imipenem (10)
