,0,1,2,3,4,5
0,Volatile Compounds,Biotype I,Biotype II,OKAY,EC1118,VIN13
1,Alcohols,,,,,
2,Hexanol (g/L),20.0  0.0 a,10.0  0.0 a,20.0  0.1 a,10.0  0.0 a,20.0  0.1 a
3,-Phenyl ethanol (mg/L),30.7  3.1 c,12.9  2.9 e,35.2  0.7 a,32.7  2.9 b,16.3  2.1 d
4,Esters,,,,,
5,Isoamyl acetate (mg/L),3.8  0.3 a,1.8 0.1b,1.3  0.0 c,1.1  0.1 c,1.5  0.0 bc
6,Phenylethyl acetate (mg/L),0.2  0.0 b,0.1  0.0 c,0.1  0.0 bc,0.4  0.1 a,0.1  0.0 c
7,Ethyl hexanoate (mg/L),0.2  0.1 c,0.4  0.2 b,0.36  0.04 b,0.43  0.04 a,0.21  0.03 c
8,Ethyl butyrate (mg/L),0.3  0.0 c,0.4  0.0 c,1.3  0.2 a,0.5  0.1 bc,0.5  0.0 b
9,Ethyl octanoate (g/L),40.0  0.1 a,40.0  0.1 a,40.0  0.2 a,10.0  0.0 b,30.0  0.1 a
10,Diethyl succinate g/L),20.0  0.0 b,10.0  0.0 c,60.0  0.1 a,10.0  0.0 c,10.0  0.0 c
11,Terpenes,,,,,
12,Linalool (g/L),40.0  0.01 b,30.0  0.1 b,60.0  0.2 a,40.0  0.1 b,20.0  0.1 b
13,Nerol (g/L),10.0  0.01 b,30.0  0.0 a,30.0  0.1 a,20.0  0.1 b,10.0  0.0 b
14,Geraniol (g/L),10.0  0.0 ab,0.0  0.0 b,30.0  0.1 a,20.0  0.1 ab,10.0  0.0 a b
15,Enones,,,,,
16,-Damascenone (g/L),10.0  0.0 b,20.0  0.1 a,10.0  0.0 b,10.0  0.0 b,10.0  0.0 b
