,0,1,2,3,4
0,Year,Origin,Extraction,Major chemical constituent (%,Investigators
1,of,,method,,
2,study,,,,
3,2011,"Fuzhou City, China",Hydrodistillation,"(Z)-Ascaridole (27.3), p-cymene (19.0), isoascaridole",Bai et al.
4,,,,"14.7,-pinene6.3,-terpinene5.1",(2011)
5,2012,"Cotonou, Benin",Hydrodistillation,"-Terpinene (63.7), ascaridole (19.7), p-cymene (19.1),",Alain et al.
6,,,,isoascaridole (2.5),(2012)
7,2012,"Fuzhou, China",Hydrodistillation,"(Z)-Ascaridole (29.7), isoascaridole (13.0), p-cymene",Zhu et al.
8,,,,"(12.7), piperitone (5.0)",(2012)
9,2012,"Recife, Brazil","Hydrodistillation-Terpinolene 69.9,ascaridole 17.1","Hydrodistillation-Terpinolene 69.9,ascaridole 17.1",Borges et al.
10,,,,,(2012)
11,2012,"Dehradun,India","Hydrodistillation-Terpinene (44.7), p-cymene (21.3), isoascaridole",,Lohani et al.
12,,,,"17.9, ascaridole44.9",(2012)
13,2013,"Kushinagar,India","Hydrodistillation -Terpinene (37.7), p-cymene (16.7), ascaridole (38.0)",,Pandey et al.
14,,,,,(2013)
15,2014,"Lavras (UFLA),Brazil",Hydrodistillation,"-Terpinene (40.7), p-cymene (21.8), trans-ascaridole",Santiago et al.
16,,,,(12.5),(2014)
17,2014,"Recife,Brazil",Hydrodistillation,"-Terpinene (42.1), -terpinenyl-acetate (31.6), thymol",Sa et al. (2014
18,,,,(7.9),
19,2015,"Rhamna region, Morocco",Hydrodistillation,"-Terpinene (23.7), ascaridole (14.5), p-cymene (12.2),",Brahim et al.
20,,,,"neral8.0,geraniol5.6,isoascaridole2.9",(2015)
21,2015,"Lavras, Brazil",Steam,"-Terpinene1.2,p-cymene4.8ascaridole Z87",Salimena et al.
22,,,distillation,ascaridole E5.0,(2015)
23,2016,"Alselw, Yemen",Hydrodistillation,"Ascaridole 54.2.isoascaridole27.7,p-cymene8.1",Al-kaf et al.
24,,,,,(2016)
25,2016,"Caceres,Brazil",Steam,"p-Cymene (42.3), ascaridole (49.7)",Degenhardt
26,,,distillation,,et al.2016
27,2016,"Uttarkashi, India",Hydrodistillation,"Ascaridole40.7,isoascaridole22.7,-terpinene",Kandpal et al.
28,,,,"(17.9), p-cymene (8.5)",(2016)
29,2017,"Franca, Brazil",Hydrodistillation,"cis-Piperitone oxide (35.2), p-cymene (14.5),",Soares et al.
30,,,,"isoascaridole (14.1), -terpinene (11.6)",(2017)
31,2019,"Kashmir, India","Hydrodistillation-Terpinene (37.2), isoascaridole (20.5), ascaridole",,Shameem et al
32,,,,(14.8),(2019)
33,2019,"Bhimtal, India",Steam,"-Terpinene (72.5), p- cymene (20.6), terpinolene (2.5)",Bist and
34,,,distillation,,Kumar
35,,,,,(2019)
36,2019,"Chaza-Niger state,Nigeria",Hydrodistillation,"-Terpinene (48.7), p-cymene (21.7), trans--terpinyl",Fatokun et al.
37,,,,"butanoate (17.1), ascaridole (5.7)",(2019)
38,2020,"Najran, Saudi Arabia",Hydrodistillation,"cis-Ascaridole (38.1), p-cymene (19.3), -terpinene",Almadiy
39,,,,"13.2,trans-ascaridole6.3",(2020)
40,2020,"Guanghua, China",Steam,"-Terpinene (32.9), p-cymene (24.2)",Li et al. (2020)
41,,,distillation,,
