,0,1,2,3,4
0,Catechols,A,B,C,D
1,Myricetin dihexoside,0.03,0.48,0.27,0.01
2,Cyanidin-3-acetylglucoside,0.28,0.38,0.45,3.04
3,Catechin gallate/epicatechin 3-gallate,0.31,0.48,0.60,0.03
4,"Petunidin 3-(6""-acetyl)-glucoside",1.36,5.39,3.97,23.98
5,Quercetin 3-galactoside,0.52,0.61,0.66,0.35
6,Quercetin 3-glucuronide,8.03,7.13,8.81,4.61
7,Quercetin 3-glucoside,1.90,1.09,1.90,0.09
8,Dihydroquercetin-3-rhamnoside,0.56,0.49,0.83,1.96
9,Malvidin 3-O-glucoside-8-ethyl-(epi)catechin isomer 1,0.76,0.24,0.14,0.02
10,Laricitrin-3-glucoside/Laricitrin 3-galactoside,0.59,1.83,2.19,0.87
11,Peonidin 3-O-glucoside-8-ethyl-epicatechin isomer 1,0.75,0.09,0.06,0.01
12,Malvidin 3-O-glucoside-8-ethyl-(epi)catechin isomer 2,2.68,0.48,0.23,0.05
13,Peonidin 3-O-glucoside-8-ethyl-(epi)catechin isomer 2,0.99,0.08,0.05,0.01
14,Malvidin 3-O-glucosidepyruvate procyanidin dimer 1,0.18,0.10,0.15,0.00
15,Malvidin 3-O-glucoside-8-ethyl-(epi)catechin isomer 3,4.21,1.00,0.46,0.10
16,"Petunidin 3-(6""-caffeoyl)-glucoside",0.22,0.39,0.44,0.21
17,Malvidin 3-O-glucosidepyruvate procyanidin dimer 2,0.22,0.26,0.32,0.02
18,Malvidin 3-O-glucoside-8-ethyl-(epi)catechin isomer 4,13.42,0.63,0.30,0.04
19,Quercetin-3-rhamnoside,0.55,0.48,0.75,2.21
20,"Delphinidin 3-(6""-coumaroyl)-glucoside",2.75,2.10,2.08,14.88
21,Myricetin,0.21,0.24,0.22,0.85
22,"Malvidin 3-(6""-caffeoyl)-glucoside",3.12,9.84,9.87,1.73
23,"Cyanidin 3-O-(6""-p-coumaroyl)glucoside",1.59,0.58,0.98,7.40
24,"Petunidin 3-O-(6""-p-coumaroyl)glucoside-8-ethyl-(epi)catechin",0.42,0.11,0.07,0.01
25,"Petunidin 3-(6""-coumaroyl)-glucoside",5.51,5.09,5.83,23.98
26,Malvidin 3-O-glucoside-4-vinyl-(epi)catechin,0.92,0.95,1.30,0.02
27,"Malvidin 3-O-(6""-p coumaroyl)glucoside ethyl-catechin",6.12,0.96,0.79,0.11
28,Quercetin,2.42,2.70,3.76,0.22
29,Laricitrin,0.05,0.09,0.08,0.10
30,Catechol index,82.49,68.59,70.54,145.73
