,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Variable,Control,,,1% MSG,,,2% MSG,,,Pooled,P value,,
1,,d3,d 15,d 29,d3,d 15,d 29,d 3,d 15,d 29,SEM,Treatment,Day,TxDa
2,Ala,261,567,705,310,662,810,335,676,736,56,0.016,<0.001,0.723
3,Arg,40,71,79,58,82,101,60,97,121,9.7,<0.001,<0.001,0.598
4,Asn,32,120,252,51,146,287,57,156,297,15,<0.001,<0.001,0.778
5,Asp,176,512,533,213,584,658,348,607,709,40,<0.001,<0.001,0.066
6,b-Ala,16,34,45,16,33,49,17,35,46,2.8,0.625,<0.001,0.701
7,Cit,7.5,42,51,20,54,76,35,65,87,7.2,<0.001,<0.001,0.556
8,Cysb,129,213,401,133,221,397,136,226,410,25.4,0.729,<0.001,1.0
9,Gln,335,1180,3580,488,1300,3890,524,1350,4050,146,<0.001,<0.001,0.039
10,Glu,406,1120,1100,465,1260,1180,496,1340,1320,59,<0.001,<0.001,0.338
11,Gly,326,901,1310,340,921,1380,397,936,1440,71,0.125,<0.001,0.908
12,His,802,707,484,844,765,516,856,764,539,44,0.321,<0.001,0.819
13,Ile,5.8,19,23,6.1,21,27,6.4,27,27,4.1,0.279,<0.001,0.668
14,Leu,25,49,58,37,55,67,41,54,69,9.2,0.044,<0.001,0.848
15,Lys,35,57,75,39,73,95,55,74,95,5.1,<0.001,<0.001,0.133
16,Met,3.2,22,25,4.6,23,32,4.6,24,31,3.3,0.069,<0.001,0.556
17,Orn,31,50,71,33,54,74,34,58,65,5.6,0.487,<0.001,0.661
18,Phe,22,38,42,27,40,44,30,42,45,3.1,0.036,<0.001,0.809
19,Pro,37,91,126,51,128,164,54,136,187,15,<0.001,<0.001,0.195
20,Ser,47,225,427,66,256,526,71,265,423,19,0.023,<0.001,<0.001
21,Taurine,1142,1420,1568,1229,1431,1590,1372,1435,1664,136,0.326,<0.001,0.819
22,Thr,90,142,467,93,149,479,88,156,460,30,0.778,0.001,0.996
23,Trp,3.8,12,19,4.9,14,23,5.3,15,22,1.3,0.021,<0.001,0.456
24,Tyr,37,66,80,46,70,82,54,73,81,7.8,0.235,<0.001,0.789
25,Val,57,120,149,69,129,157,74,134,160,9.4,<0.001,<0.001,0.150
