,0,1,2,3,4,5,6,7,8
0,,,,,,,,Yield(ton/,Yield(ton/
1,,Fruit cracking %,Fruit cracking %,Fruit sun burn %,Fruit sun burn %,Yield (kg/tree),Yield (kg/tree),hectare),
2,Treatments,2019,2020,2019,2020,2019,2020,2019,2020
3,Control,22.02a,19.43a,25.07a,22.12a,11.42g,14.18h,2.28g,2.84h
4,0.025 mg/L Se,16.47b,14.92b,22.70b,19.79b,12.73f,15.65g,2.55f,3.13g
5,0.05 mg/L Se,13.68cde,12.10de,20.25cd,17.13c,15.03cd,18.27e,3.01cd,3.65e
6,0.1 mg/L Se,11.77ef,10.89ef,19.40cd,16.67c,17.88b,21.28c,3.57b,4.26c
7,5 mL/L Ag NPs,15.15bc,13.44c,22.64b,19.87b,13.71ef,17.04f,2.74ef,3.41f
8,7.5 mL/L Ag NPs,13.50cde,11.96de,19.70cd,16.89c,15.42cd,19.08de,3.08cd,3.81de
9,10 mL/L Ag NPs,11.35f,10.48f,18.70de,15.99cd,18.38b,23.23b,3.68b,4.64b
10,0.5 mg/LKSiO,14.19cd,12.54cd,21.12bc,18.33bc,14.51de,18.33e,2.90de,3.67e
11,1 mg/L KSiO5,12.42def,11.00ef,19.60cd,16.75c,15.92c,19.90d,3.18c,3.98d
12,2 mg/L KSiO5,11.07f,9.70f,17.55e,14.00d,21.56a,26.70a,4.31a,5.34a
13,LSDo.05,1.95,1.21,1.72,2.16,1.17,1.18,0.23,0.23
