,0,1,2,3,4,5,6,7,8,9
0,Micronutrient,Age,Gender,AI,EAR,Non-users,Non-users,,Users,
1,,(year),,,,,Evaluation risk,%<EAR,Evaluation risk,%<EARa
2,,,,,,,inadequate intake for,,inadequate intake,
3,,,,,,,each age (in years),,,
4,Vitamin A,1-17,Boys,300/350/400/,600c,1-9:LR,1-9:LR,55.7 (48.5-59.7),"1-9,12-13:LR",40.9 (35.146.5)
5,(g RAE),,,600b,,10-13: NSP,10-13: NSP,,10-11:NSP,
6,,,Girls,,500c,1-9:LR,1-9:LR,48.4 (42.256.7),1-9:LR,50.1 (44.555.1)
7,,,,,,10-13:NSP,10-13:NSP,,10-13:NSP,
8,,18-79,Men,,615,,,31.9 (27.0-36.6),,26.8 (22.930.6)
9,,,Women,,525,,,25.5 (18.4-34.4),,34.4 (30.938.6)
10,Vitamin B1(mg1-17,Vitamin B1(mg1-17,Boys,0.3/0.5/0.8/1.1,,1-13:LR,1-13:LR,,"1-13,15-17:LR",
11,,,,,,14-17:NSP,14-17:NSP,,14: NSP,
12,,,Girls,,,1-13:LR,1-13:LR,,1-13: LR,
13,,,,,,14-17:NSP,14-17:NSP,,14-17:NSP,
14,,18-79,Men,,0.072,-,,1.2 (1.21.2),,1.3 (1.31.4)
15,,,Women,,,,,0.9 (0.90.9),,1.1 (1.11.2)
16,Vitamin B2(mg) 1-17,Vitamin B2(mg) 1-17,Boys,0.5/0.7/1/1.5,,1-13:LR,1-13:LR,,LR,
17,,,,,,14-17:NSP,14-17:NSP,,,
18,,,Girls,0.5/0.7/1/1.1,,,"1-8,10-11,13:LR",,LR,
19,,,,,,,"9,12,14-17: NSP",,,
20,,18-79,Men,,1.3,-,,33.4 (30.038.8),,10.6 (6.913.9)
21,,,Women,,,,,64.3 (61.1-67.5),,40.0 (34.845.2)
22,Vitamin B3(mg)1-17,Vitamin B3(mg)1-17,Boys,4/7/11/17,,"1-13,17:LR","1-13,17:LR",,"1-13,15-17:LR",
23,,,,,,14-16: NSP,14-16: NSP,,14:NSP,
24,,,Girls,4/7/11/13,,,"1-8,12-13: LR",,"1-13,15-17:LR",
25,,,,,,,"9-11,14-17:NSP",,14: NSP,
26,,18-79,Men,,1.3,-,,0(00),,0(00)
27,,,Women,,,,,0 (00),,0 (00)
28,Vitamin B6 (mg) 1-17,Vitamin B6 (mg) 1-17,Boys,0.4/0.7/1.1/1.5,,1-13: LR,1-13: LR,,LR,
29,,,,,,14-17:NSP,14-17:NSP,,,
30,,,Girls,,,1-8: LR,1-8: LR,,1-13:LR,
31,,,,,,9-17:NSP,9-17:NSP,,14-17:NSP,
32,,18-79,Men,,1.1,-,,11.6 (7.317.8),,5.8 (5.18.6)
33,,,Women,,,,,26.2 (21.135.1),,20.3 (16.924.1)
34,Folate equiva-,1-17,Boys,85/150/225/300,,"1-3,6-8:LR","1-3,6-8:LR",,1-13:LR,
35,lents (g),,,,,"4-5,9-17: NSP","4-5,9-17: NSP",,14-17: NSP,
36,,,Girls,,,"1-3,6-8:LR","1-3,6-8:LR",,1-8:LR,
37,,,,,,,"4-5,9-17:NSP",,9-17:NSP,
38,,18-79,Men,,200,,,17 (14.319.8),,0.5 (0.01.2)
39,,,Women,,,,,40.5 (37.244.6),,7.3 (3.613.1)
40,Vitamin B12,1-17,Boys,0.7/1.3/2/2.8,,LR,LR,,LR,
41,(g),,Girls,,,,"1-13,16-17:LR",,LR,
42,,,,,,14-15:NSP,14-15:NSP,,,
43,,18-79,Men,,2,-,,1.6 (0.92.5),,1.6 (0.34.0)
44,,,Women,,,,,6.4 (4.88.6),,4.3 (2.16.5)
45,Vitamin C (mg),1-17,Boys,25/30/40/50b,60c,LR,LR,39.2 (35.246.2),LR,8.0 (5.110.7)
46,,,Girls,,50c,LR,LR,29.9 (26.635.2),LR,6.5 (3.58.8)
47,,18-79,Men,,60,,,23.8 (21.728.8),,6.1 (3.88.4)
48,,,Women,,50,,,20.2 (17.223.6),,3.0 (1.64.6)
