,0,1,2,3
0,Acetone extract from peel of fruits treated with,Extract concentration(%),,R.solani fungal inhibition percentage
1,,2%,35.18  0.64,35.18  0.64
2,Untreated,4%,36.66,36.66
3,,6%,39.25  0.64,39.25  0.64
4,,2%,32.96  0.64,32.96  0.64
5,5 mL/L Ag,4%,39.25  0.64,39.25  0.64
6,,6%,45.92  0.64,45.92  0.64
7,,2%,32.96  0.64,32.96  0.64
8,7.5 mL/L Ag,4%,32.59  0.64,32.59  0.64
9,,6%,40.37  0.64,40.37  0.64
10,,2%,37.030.64,37.030.64
11,10 mL/L Ag,4%,38.51  0.64,38.51  0.64
12,,6%,40,
13,,2%,42.59  1.69,42.59  1.69
14,0.025 mg/L Se,4%,45.92  0.64,45.92  0.64
15,,6%,51.48  0.64,51.48  0.64
16,,2%,39.25  0.64,39.25  0.64
17,0.05 mg/L Se,4%,43.70  1.28,43.70  1.28
18,,6%,48.140.64,48.140.64
19,,2%,38.14  0.64,38.14  0.64
20,0.1 mg/L Se,4%,41.11,41.11
21,,6%,48.14  0.64,48.14  0.64
22,,2%,33.33,33.33
23,"0.5 mg/L K,Si,Os",4%,40.74  0.64,40.74  0.64
24,,6%,47.03  0.64,47.03  0.64
25,,2%,40.37  0.64,40.37  0.64
26,"1 mg/L K,Si,O5",4%,44.810.64,44.810.64
27,,6%,63.70  0.64,63.70  0.64
28,,2%,37.030.64,37.030.64
29,"2 mg/L K,Si,O5",4%,39.25  0.64,39.25  0.64
30,,6%,50.37 0.64,50.37 0.64
31,Positive control*,2.5 g/L,32.960.64,32.960.64
32,Negative Control,0,0.00,0.00
33,P-value,,<0.0001,<0.0001
