,0,1,2,3,4
0,Legumes,Bio-active compounds,,,Reference
1,,Phenolic acids,Flavonoids,"Others (Phytosterols, Saponin, Carotenoids)",
2,Cowpea,"Coumaric acid, Gallic acid, Chlorogenic acid,","Quercetin Catechin,Epicatechin",,Moreira-Araujo et al. 2017
3,,"Caffeic acid,Ferulic acid",,,
4,"Bambara groundnut Gallic acid, Chlorogenic acid, Ellagic acid","Bambara groundnut Gallic acid, Chlorogenic acid, Ellagic acid","Catechin, Quercetin, Kaempferol, Rutin,",,Harris et al. 2018
5,,,Myricetin,,
6,Marama bean,"Caffeic acid,Gallic acid,Ferulic acid, Sinapic","Fisetin, Myricetin, Quercetin, Astragalin,","Phytosterols (4-desmethylsterols,",Omotayo and Aremu 2021
7,,"acid, Syringic acid, p-Hydroxybenzoic acid,","Kaempferol, Rutin, Naringin Hesperidin","4,4-dimethylsterols, vitamin E isomers -,",
8,,"p-Coumaric acid, Vanillic acid, Protocat-",Catechin,"- and -tocopherols, secoisolariciresinol,",
9,,echuic acid,,lariciresinol and pinoresinol),
10,Adzuki bean,"Caffeic acid, Gallic acid,Gentistic acid Chlo",,,Lee et al. 2018;
11,,"rogenic acid, Phloretic acid, Ferulic acid",,,
12,,"Veratric acid, n-Coumaric acid, Protocat-",,,
13,,"echuic acid, Hesperidin",,,
14,,,"Catechin, Vitexin-4""-O-glucoside, Querce-","SaponinAzukisaponin I, II, III,IVV,VI",Liu et al.2017
15,,,"tin-3-O-glucoside,Quercetin-3-O-rutinoside",,
16,Andean lupin,"Caffeic acid,Gallic acid,p-Hydroxybenzoic",,,Siger et al.2012
17,,"acid, p-Coumaric acid, Protocatechuic acid",,,
18,,,Apigenin glycosides,"Phytosterols (Campesterol, Campestanol,",Czubinski et al.2021
19,,,,"Stigmasterol, -Sitosterol, 5-Avenasterol,",
20,,,,"7-Stigmastenol, 24-Methylenecycloar-",
21,,,,"tanol) Carotenoids (Violaxanthin, Lutein,",
22,,,,"Zeaxanthin, -Carotene, -Carotene),",
23,,,,"Tocopherols (-T, -T), Oligosaccharides",
24,,,,"(Sucrose, Raffinose, Stachyose)",
25,Rice bean,"p-Coumaric acid, Caffeic acid Chlorogenic",,,Yao et al. 2011
26,,"acid, Ferulic acid, Sinapic acid",,,
27,,,Catechin EpicatechinVitexinIsovitexin,,Yao et al.2012
28,,,Quercetin,,
29,Hyacinth bean,"Gallic acid, 4-Hydroxy-3.",CatechinEpicatechinRutin,"Carotenoids (Lutin, Lycopene, -carotene)",Habib et al.2017
30,,"methoxybenzoic acid, Syringic acid, p-Cou-",,,
31,,"maric acid, Ferulic acid, Cinnamic acid",,,
32,Horse gram,"Gallic acid, Protocatechuic acid, Syringic","Daidzein, Genistein, Kaempferol, Myricetin",,"Sreerama et al. 2010a, b"
33,,"acid,Vanillic acidCaffeic acidChloro",Quercetin,,
34,,"genic acid, Ferulic acid, p-Coumaric acid,",,,
35,,"p-Hydroxybenzoic acid, Sinapic acid",,,
