,0,1,2,3,4,5,6,7,8,9,10
0,,Continuous,Quartile egg intake (number/d),Quartile egg intake (number/d),Quartile egg intake (number/d),Quartile egg intake (number/d),,,,,Pfor tren
1,,additional egg/d),Q1,,Q2,,Q3,,Q4,,
2,,95%CI,OR,95%CI,OR,95%CI,OR,95%CI,OR,95%CI,
3,"Median,number/d",0.7,0,,0.5,,1.0,,1.3,,
4,Model 1a,1.14-1.62,1.00,,1.48,1.11-1.98,1.46,1.09-1.96,1.64,1.22-2.20,0.002
5,Model 2b,1.11-1.58,1.00,,1.48,1.11-1.99,1.39,1.03-1.87,1.59,1.18-2.14,0.006
6,Model 2 plus nutrients,,,,,,,,,,
7,"Saturated fat,unsaturated fat",1.08-1.56,1.00,,1.47,1.09-1.97,1.35,1.00-1.84,1.54,1.13-2.09,0.013
8,Animal protein,1.10-1.60,1.00,,1.48,1.11-1.99,1.39,1.02-1.89,1.59,1.16-2.17,0.008
9,Fibre,1.11-1.58,1.00,,1.48,1.11-1.99,1.39,1.03-1.88,1.59,1.18-2.15,0.005
10,All previous nutrients,1.10-1.60,1.00,-,1.48,1.10-1.98,1.38,1.02-1.88,1.58,1.16-2.17,0.009
11,Model 2 plus plasma lipid profiles (mmol/L) d,Model 2 plus plasma lipid profiles (mmol/L) d,,,,,,,,,
12,TG,1.10-1.60,1.00,,1.57,1.16-2.12,1.46,1.07-1.99,1.65,1.20-2.25,0.009
13,TC,1.09-1.58,1.00,,1.61,1.19-2.18,1.45,1.06-1.98,1.64,1.20-2.24,0.011
14,LDL-C,1.11-1.60,1.00,,1.62,1.20-2.19,1.46,1.07-1.99,1.68,1.23-2.30,0.007
15,HDL-C,1.09-1.58,1.00,,1.60,1.19-2.16,1.44,1.06-1.96,1.64,1.20-2.25,0.011
16,All previous measurements,1.08-1.56,1.00,-,1.58,1.17-2.13,1.46,1.07-1.99,1.63,1.19-2.23,0.011
