,0,1,2,3
0,Orphan legumes,Consumption constraints,Possible interventions,Reference
1,Various orphan legumes (bambara,Presence of ANFs,Germination,Yagoub and Abdalla 2007
2,"groundnut, marama bean, horse",,Soaking,Borade et al.1984;Bajaj2014
3,"gram, rice bean, tepary bean, adzuki",,"Blanching,Addition of alkaline salts",Mubaiwa et al.2019
4,"bean, cowpea)",,"Blanching,Addition of alkaline salts",Mubaiwa et al.2019
5,,,Fermentation,Ijarotimi and Esho 2009
6,,,"Dehulling, Boiling",Champ 2002
7,,,Roasting,Maruatona et al. 2010
8,Andean Lupin,Bitterness,"Fermentation,Germination,Hexane",Carvajal-Larenas et al.2016
9,,,"and basic solutions,Mixed alcohol-",
10,,,"based extractions, Aqueous (cold and",
11,,,warm) processing,
12,Bambara groundnut,Hard-to-cook,"Soaking, Boiling, Roasting",Ademiluyi and Oboh 2011
13,,,Infra-red heat treatment,Ogundele et al. 2017
14,,,"Processing into flour, packaging",Mayes et al. 2019
15,,,cooked seed into cans or vacuum-,
16,,,sealed,
17,,Beany taste (in milk),Dry frying of pre-soaked beans prior,Brough et al. 1993
18,,,to milling,
19,,,Heat treatment of milk,Murevanhema 2012
20,Marama bean,Bitterness,Full fat flouring,Kayitesi et al. 2010
21,,,"Blanching, Roasting",Iwuoha and Umunnakwe 1997
22,Adzuki bean,Hard-to-cook,Pressure cooking,Yadav et al.2018
23,,,Improved storage,Yousif et al. 2002
24,Tepary bean,Hard-to-cook,Soaking before cooking,"Heredia-Rodriguez et al.2019b,a"
25,Cowpea,Hard-to-cook,Soaking prior to cooking,Taiwo et al. 1997
26,,,-irradiation treatment,Jombo et al.2021
27,Rice bean,Hard-to-cook,Soaking and Cooking,Kaur et al.2013:Bepary et al.2017
