,0,1,2,3,4
0,Tunisian biogeographical entity,Governorate,Village/Community,Period,Informants
1,Kroumirie,Jendouba,Ain Draham,2001-2021,AFG
2,,,Fernana,,AFG
3,,,Ghar Dimaou,,AFG-EF
4,,,Tabarka,,S
5,Mogods,Bizerta,Ghar El Melh,20012021,S
6,,,Mateur/Bazina,,AFG-EF
7,,,Mateur/Sidi Nsir,,AFG
8,,,Ras Jebel,,AFG
9,,,Utique,,EF-THS
10,,Beja,Beja South/M'farig,2014-2015,EF-S
11,,,Nefza,2012-2021,AFG
12,Valley of Medjerda,Beja,Beja North/El Manchar,20142018,EF-S
13,,,Beja North/Ksar Mezouar,,EF-S
14,,,Testour,,S
15,Northeastern part,Bizerta,Bizerta North/Nadhour,2001-2021,AFG
16,,,Bizerta South/Rimel,,AFG
17,,Tunis,Ariana/Sidi Amor,2012-2014,AFG-S
18,Cap Bon,Nabeul,Beni Khiar/Ghardaia,2018-2020,EF
19,,,Beni Khiar/Soumaa,,EF
20,,,Haouaria,,AFG
21,Central Tunisia,Monastir,Moknine/Amira,2015-2021,S
22,,Mahdia,Kerker,,S
23,,Sousse,Enfidha/Takrouna,,S
24,,Siliana,Kesra,2017-2018,AFG
25,,,Makthar,,AFG
26,,,Siliana South/Sidi Hmada,,AFG
27,,Kasserine,Thelpete,2004-2011,EF
28,,,Rouhia,,S
29,,,Sbeitla,,S
30,,Kairouan,Oueslatia,2015-2016,S
31,,Sidi Bouzid,Sidi Bouzid North/Mghila,2014-2015,EF-S
32,Tunisian Dorsal,Beja,Teboursouk,2018-2019,S
33,,Le Kef,Dahmani,20192020,S
34,,,Nebeur,,S
35,,,Sers,,S
36,,Zaghouan,El Fahs,2004-2011,EF
37,,,Zaghouan,,AFG
38,Southern Tunisia,Medenine,Medenine North/Tajera,20012004,AFG-S
39,,,Medenine South/Beni Ghzaeil,,S
40,,,Medenine South/Naffeteya,,S
41,,,Beni Khdech/Ain Tanout,,S
42,,Sidi Bouzid,Sidi Bouzid South/Bouhedma,20122018,AFG
43,,Tataouine,Bir Lahmer,2001-2004,S
44,,,Douiret,,S
45,,,Remada,May 2021,THS
