,0,1,2,3,4,5,6,7,8
0,Micronutrient,Age,Gender AI,Gender AI,EAR Non-users,EAR Non-users,,Users,
1,,(year),,,,Evaluation risk,%<EAR,Evaluation risk,%<EARa
2,,,,,,inadequate intake for,,inadequate intake,
3,,,,,,each age (in years),,,
4,Vitamin D (g),1-17,Boys,10/3d,,NSP/,,NSP/,
5,,,,,,1:LR,,LRS,
6,,,,,,2-17: NSp5,,,
7,,,Girls,,,NSP/,,NSP/,
8,,,,,,NSP5,,NSps,
9,,18-79,Men,10/3d,10,NSP/,99.4 (98.5-99.9),NSP/,98.6 (96100.5)
10,,,,,,26-69:LR,,LR5,
11,,,,,,18-25: NSp5,,,
12,,,Women,,,NSP/,100(99.9-100.0)NSP/,100(99.9-100.0)NSP/,99.2 (96.4-100.2
13,,,,,,NSP5,,"18,26-27,31-69",
14,,,,,,,,LR,
15,,,,,,,,"19-25, 28-30:",
16,,,,,,,,NSP5,
17,Vitamin E (mg),1-17,Boys,4/5/6/8b,6c,LR,5.5 (2.58.4),LR,0.6 (0.61.1)
18,,,Girls,4/5/6/7b,5c,LR,6 (3.08.0),LR,1.3 (1.32.1)
19,,18-79,Men,13,,25-58: LR,,18-72.74:LR,
20,,,,,,"18-24,59-79:NSP",,"73,75-79: NSP",
21,,,Women 11,Women 11,,NSP,,"37,39-41,43-45,",
22,,,,,,,,"47-48,50-51,",
23,,,,,,,,54-78: LR,
24,,,,,,,,18-36.38.42.46.,
25,,,,,,,,"49,52-53,79:",
26,,,,,,,,NSP,
27,Iron (mg),1-17,Boys,8/9/11b,7c,NSP,12.59.3-15.2,4-9: LR,2.9 (0.05.2)
28,,,,,,,,"1-3,10-13:NSP",
29,,,Girls,,10c,NSP,89.4 (86.692.0),5:LR,71.0 (65.677.9)
30,,,,,,,,"1-4,6-13:NSP",
31,,18-79,Men,,6,,0.6 (0.30.9),,0.1 (0.00.2)
32,,,Women,,7/6,,9.4 (9.313.3),,7.2 (2.911.2)
33,Calcium (mg),1-17,Boys,500/700/1200,,1-8: LR,,1-8:LR,
34,,,,,,9-17: NSP,,9-17:NSP,
35,,,Girls,500/700/1100,,1-3:LR,,"1-3,5-8:LR",
36,,,,,,4-17:NSP,,"4,9-17:NSP",
37,,18-79,Men,1200e,860/,NSP,18-24:41.0,NSP,18-24:27.1
38,,,,,750f,,(40.245.3),,(29.337.0)h
39,,,,,,,2569: 17.9,,2569: 11.0
40,,,,,,,(18.123.3),,(10.1-16.0)
41,,,Women 1100/1200e,Women 1100/1200e,,NSP,18-24: 64.4,NSP,18-24:48.7
42,,,,,,,(61.267.6),,(44.256.1)
43,,,,,,,25-49: 32.4,,25-49: 22.0
44,,,,,,,296-429,,161-280
