,,,Height-for-age,Height-for-age,Height-for-age
,,,"HIV related standardised
mean differences in growth","HIV related standardised
mean differences in growth",
Class,Adjusted for,Association,SMD,95 % CI*,HIV FA interaction
,Not adjusted for any FAt,CPHIV v.CHEU,−0·64,"−0·97, −0·32",
Totals,Total SFA,CPHIV v.CHUU,−0·48,"−0·76, −0·23",N/A
,Total SFA,CPHIV v.CHEU,−0·63,"−0·74, −0·21",0.98
,,CPHIV v. CHUU,−0·47,"−0·95, −0·30",
,Total n-3,CPHIV v.CHEU,−0·65,"−0·96, −0·33",0.45
,,CPHIV v.CHUU,−0·49,"−0·76, −0·21",
,Total n-6,CPHIV v.CHEU,−0·60,"−0·91, −0·27",0.8
,,CPHIV v. CHUU,−0·46,"−0·70, −0·18",0.63
,Total MUFA,CPHIV v.CHEU,−0·63,"−0·94, −0·32",0.63
,,CPHIV v.CHUU,−0·46,"−0·72, −0·20",
,Total PUFA,CPHIV v.CHEU,−0·63,"−0·95, −0·31",0.71
,,CPHIV v.CHUU,−0·47,"−0·74, −0·21",
n-9,Mead acid,CPHIV v.CHEU,−0·57,"−0·89, −0·26*",0.22
,,CPHIV v.CHUU,−0·43,"−0·70, −0·15",
Ratio,T/T ratio,CPHIV v.CHEU,−0·59,"−0·92, −0·27",0.53
,,CPHIV v. CHUU,−0·44,"−0·71, −0·18",
