,"Continuous variable
(each additional 100
mg/d)","Continuous variable
(each additional 100
mg/d)","Tertiles of cholesterol
 Intake (mg/d)","Tertiles of cholesterol
 Intake (mg/d)","Tertiles of cholesterol
 Intake (mg/d)","Tertiles of cholesterol
 Intake (mg/d)","Tertiles of cholesterol
 Intake (mg/d)","Tertiles of cholesterol
 Intake (mg/d)",P for trend
,"Continuous variable
(each additional 100
mg/d)","Continuous variable
(each additional 100
mg/d)",Q1,Q1,Q2,Q2,Q3,Q3,
,OR,95%CI,OR,95%CI,OR,95%CI,OR,95%CI,
Cholesterol from eggs,,,,,,,,,
"Median,mg/d",194.7,,107,,127.3,,128.3,,
Model1a,1.11,1.04-1.17,1,-,1.22,0.97-1.55,1.5,1.15-1.97,0.003
Model 2b,1.09,1.03-1.17,1,-,1.14,0.90-1.46,1.43,1.08-1.90,0.019
Model 2 plus nutrients c,,,,-,,,,,
"Saturated fat,unsaturated fat",1.09,1.03-1.16,1,-,1.12,0.88-1.44,1.4,1.05-1.86,0.027
Animal protein,1.1,1.03-1.17,1,-,1.14,0.89-1.47,1.42,1.07-1.90,0.022
Fibre,1.09,1.03-1.16,1,-,1.14,0.89-1.45,1.42,1.07-1.88,0.021
All previous nutrients,1.1,1.03-1.17,1,-,1.13,0.88-1.45,1.42,1.06-1.90,0.025
Cholesterol from other foods d,,,,-,,,,,
"Median,mg/d",121,,51,-,121,,216,,
Model1a,1.02,0.93-1.13,1,-,1.34,1.04-1.73,1.3,1.00-1.59,0.047
Model2b,0.99,0.88-1.12,1,-,1.33,0.98-1.80,1.28,0.93-1.45,0.102
Model 2plus nutrients,,,,-,,,,,
"Saturated fat,unsaturated fat",0.96,0.85-1.09,1,-,1.26,0.92-1.72,1.23,0.88-1.40,0.24
Animal protein,0.95,0.81-1.12,1,-,1.4,0.97-2.03,1.36,0.96-1.58,0.103
Fibre,0.98,0.87-1.11,1,-,1.32,0.97-1.02,1.28,0.92-1.44,0.126
All previous nutrients,0.93,0.79-1.10,1,-,1.34,0.92-1.94,1.31,0.90-1.54,0.181
