,0,1,2,3,4,5,6,7
0,,,,,,Onaconsumptonaay(usersortneselortedfooasony),,
1,Food groups and,% fortified foods,% consumed forti-,% consumed forti-,,P95 fortified food,,P95 fortified food
2,subgroups,users within food,fied foods within,fied foods within,food consumption,consumption users,consumption,consumption users
3,,(sub-) groups on a,the total food, the total subgroup,users,(g/day),users,(g/day)
4,,recall day,group (based on,(based on g/d),(g/day),(g/day),(g/day),
5,,,g/d),,,,,
6,Dairy products and,8.4,4.9,-,206,,48,545
7,substitutes,,,,,,,
8,Non fermented,0.0,0.0,0.2,222,,101,375
9,milk and milk,,,,,,,
10,beverages,,,,,,,
11,"Fermented milk,",2.5,1.2,13.2,225,,88,534
12,milk beverages,,,13.2,,,,534
13,and yoghurt,,,,,,,
14,Milk substitutes,2.7,1.5,90.6,224,,50,808
15,and milk substi-,,,,,,,
16,tute products,,,,,,,
17,Yoghurt,0.9,0.3,3.5,200,,39,310
18,"Fromage blanc,",0.0,0.3,16.2,99,,28,446
19,petits suisses,,,,,,,
20,Cheeses (includ-,0.2,0.0,0.3,14,,8,38
21, ing spread,,,,,,,
22,cheeses),,,,,,,
23,"Cream desserts,",0.7,0.2,4.8,198,,76,352
24,puddings (milk,,,,,,,
25,based),,,,,,,
26,Sorbet/water ice,0.3,0.3,13.1,45,,32,53
27,Cereals and cereal,3.6,1.1,-,30,,11,102
28,products,,,,,,,
29,Bread,0.5,0.3,0.4,54,,23,153
30,"Crispbread, rusks",0.2,0.1,0.8,19,,7,75
31,Breakfast cereals,2.9,0.7,15.8,30,,10,60
32,"Meat, meat",1.5,1.3,-,61,,9,151
33,products and,,,,,,,
34,substitutes,,,,,,,
35,Hot meat substi-,1.1,1.1,63.8,77,,13,162
36,tutes,,,,,,,
37,Cold meat substi-,0.4,0.2,79.6,11,,6,31
38,tutes,,,,,,,
39,Fats and oils,39.5,24.8,-,10,,1,36
40,Unclassified and,4.1,2.5,19.7,5,,1,19
41,combined fats,,,,,,,
42,Vegetable oils,0.2,0.1,0.6,6,,1,22
43,Butter,0.2,0.1,0.9,6,,1,23
44,Margarines and,36.1,23.3,35.9,10,,1,37
45, cooking fats,36.1,23.3,35.9,10,,,
46,Other animal fats,0.0,0.0,0.0,4,,4,4
47,(including fish,,,,,,,
48,oils),,,,,,,
49,Sugar and confec-,2.1,1.3,-,12,,3,38
50,tionery,,,,,,,
51,"Jam, jelly and",0.2,0.2,1.2,35,,11,91
52,marmalade,,,,,,,
53,Other sweet,0.4,0.2,5.6,6,,3,12
54,spreads,,,,,,,
