,0,1,2,3,4,5,6,7,8
0,,,Pre-survey,,,Post-survey,,,
1,,n/Total,,,n/Total,,,"Changes,",
2,Outcomes,responses,Median score,Median score,responses,Median score,Median score,median score,P
3,Dysphagia knowledge (/7),,,,,,,,
4,Total,83/85,,4.0,51/51,,6.0,2.0,<0.00012
5,Site 1,6/7,,2.5,6/6,,7.0,4.5,0.0022
6,Site 2,14/14,,4.5,8/8,,6.0,1.5,<0.00012
7,Site 3,22/22,,4.0,7/7,,7.0,3.0,<0.00012
8,Site 4,20/20,,4.0,14/14,,6.0,2.0,0.00022
9,Site 5,21/22,,4.0,16/16,,6.0,2.0,<0.00012
10,IDDSI knowledge/8,,,,,,,,
11,Total,35/85,,2.0,48/51,,4.5,2.5,<0.00012
12,Site 1,2/7,,1.5,6/6,,4.5,3.0,0.110
13,Site 2,11/14,,2.0,8/8,,4.5,2.5,<0.00012
14,Site 3,6/22,,1.5,7/7,,5.0,3.5,0.0312
15,Site 4,14/20,,2.0,13/14,,6.0,4.0,<0.00012
16,Site 5,2/22,,1.5,14/16,,3.0,1.5,0.330
