,0,1,2,3,4,5,6,7,8,9,10,11
0,,Vitamin E intakea,,,,,,,,,,
1,,Standardized,P,,,Standardized,P,,,Standardized,P,
2,,beta (95% CI),,,,beta (95% CI),,,,beta (95% CI),,
3,Univariable,,,,Univariate,,,,Univariate,,,
4,+-CEHC,"0.13 (0.03, 0.23)",,0.01,-CEHC,"0.10 (0.01, 0.20)",,0.04,CEHC,"0.09 (0.01,",,0.06
5,(mol/24 h),,,,(mol/24 h),,,,(mol/24 h),0.19),,
6,Multivariable,,,,Multivariate,,,,Multivariate,,,
7,+-CEHC,"0.08 (0.01, 0.16)",,0.03,-CEHC,"0.07 (0.01, 0.15)",,0.05,-CEHC,"0.05 (0.02,",,0.2
8,(mol/24 h),,,,(mol/24 h),,,,(mol/24 h),0.13),,
9,Age,"0.01 (0.09,",,0.7,Age,0.01,,0.8,Age,"0.01 (0.09,",,0.7
10,,0.06),,,,"(0.09,0.06)",,,,0.06),,
11,Male,"0.10 (0.30,",,0.3,Male,"0.11 (0.30,",,0.3,Male,0.11,,0.2
12,,0.09),,,,0.09),,,,"-0.31,0.08",,0.2
13,Supplementa-,"0.08 (0.11,",,0.4,Supplementa-,"0.09 (-0.10,",,0.3,Supplementa-,"0.09(0.11,",,0.4
14,tion use,0.28),,, tion use,0.29),,,tion use,0.29),,
15,BSA,"0.05 (-0.05,",,0.3,BSA,"0.05 (-0.05,",,0.3,BSA,"0.05 (0.04,",,0.3
16,,0.14),,,,0.14),,,,0.15),,
17,Smoking,,,,Smoking,,,,Smoking,,,
18,Former,"0.06 (0.11,",,0.5,Former,"0.05 (0.11,",,0.5,Former,"0.05 (0.12,0.21)",,0.6
19,,0.23),,,,0.22),,,,,,
20,Current,"0.07 (0.32,",,0.6,Current,"0.08 (0.33,",,0.6,Current,0.07,,0.6
21,,0.19),,,,0.18),,,,"(0.32,0.19)",,
22,Never,Ref,,,Never,Ref,,,Never,Ref,,
23,Lipids intake,"0.69 (0.61, 0.77)",,<0.001,Lipids intake,"0.69 (0.61,0.77)",,<0.001,Lipids intake,"0.69 (0.61, 0.77)",<0.00,<0.00
24,SES,"0.03 (0.13,",,0.7,SES,"0.02 (0.14,0.18)",,0.8,SES,"0.03 (0.13,",,0.7
25,,0.18),,,,,,,,0.19),,
