Name of the Document,Year,Reference
"Regulation(ECNo.767/2009 of the
 European Parliament and of the
 Council of 13 July2009 on the",,
"placing on the market and use of feed, 
amending European Parliament
 And Council Regulation (EC)",,
"No.1831/2003 and repealing 
Council Directive 79/373/EEC,
Commission Directive 80/511/EEC",2009,[45]
"Council Directives 82/471/EEC,83/228/EEC,
93/74/EEC,93/113/EC and 96/25/EC and",,
Commission Decision 2004/217/EC,,
"Regulation (EU) No.1169/2011 of the European
 Parliament and of the Council of 25 October 2011 on",,
"the provision of food information to consumers,
Amending Regulations (EC) No.1924/2006 and (EC)",,
"87/250/EEC,Council Directive
90/496/EEC,Commission Directive 1999/10/EC,Directive",2011,[83]
"2000/13/EC of the European Parliament and of 
The Council,Commission Directives2002/67/EC and",,
2008/5/EC and Commission Regulation(EC)No.608/2004.,,
"Commission Regulation (EUNo.142/2011 of
25 February 2011 implementing Regulation(EC No",,
"1069/2009 of the European Parliament and of 
The Council laying down health rules as regards animal",,
"by-products and derived products not 
Intended for human consumption and implementing Council",2011,[41]
"Directive 97/78/EC as regards certain samples
 And items exempt from veterinary checks at the border",,
under that Directive.,,
"Regulation(EU2015/2283of the European Parliament
 Andof the Council of 25 November 2015 on",,
"and repealing Regulation (EC) No. 258/97 
Of the European Parliament and of the Council and",2015,[67]
Commission Regulation (EC) No. 1852/2001.,,
"feed""issued 8October2015",2015,[65]
"IPIFF information document ""Regulation (EU) 2015/2283
 On novel foods- Briefing paper on the",,
"provisions relevant to the commercialisation
 Of insect-based products intended for human",2015,[84]
consumption in the EU,,
"Commission Regulation (EU) 2017/893 of 24 May 
2017 amending Annexes I and IV to Regulation (EC)",,
"No.999/2001 of the European Parliament 
And of the Council and Annexes X,XIV and XV to",2017,[85]
"Commission Regulation (EU) No.142/2011 as
 Regards the provisions on processed animal protein",,
"Commission Implementing Regulation 
(EU) 2017/2469 of 20 December 2017 laying down",,
"administrative and scientific requirements 
For applications referred to in Article 10 of Regulation (EU)",2017,[71]
"2015/2283 of the European Parliament
And of the Council on novel foods.",,
"Swedish University of Agricultural 
Sciences (EFSA funded report, adopted on 6 July 2018).",2018,[86]
"Commission Notice-Guidelines for the feed use
 Of food no longer intended for human consumption",2018,[46]
EN ISO 22000: 2018 on food safety management systems.,2018,[69]
"Commission Regulation (EU) 2021/1372 of 17 
August 2021 amending Annex IV to Regulation (EC) No",,
"999/2001 of the European Parliament 
And of the Council as regards the prohibition to feed",2021,[77]
