,,,,"On a consumption 
day (users of These 
Fortified foods only)","On a consumption 
day (users of These 
Fortified foods only)","On a consumption 
day (users of These 
Fortified foods only)"
"Food groups and
subgroups","% fortified foods
users within food
(sub-) groups on a
recall day","% consumed forti-
fied foods within
the total food
group (based on
g/d)","% consumed forti-
fied foods within
the total subgroup
(based on g/d)","Median fortified
food consumption
users
(g/day)","P5 fortified food
consumption
users
(g/day)","P95 fortified food
consumption users
(g/day)"
"Dairy products and 8.4
Substitutes",8.4,4.9,-,206,48,545
"Non fermented
milk and milk
Beverages",0,0,0.2,222,101,375
"Fermented milk,
milk beverages
and yoghurt",2.5,1.2,13.2,225,88,534
"Milk substitutes
and milk substi-
tute products",2.7,1.5,90.6,224,50,808
Yoghurt,0.9,0.3,3.5,200,39,310
"Fromage blanc,
petits suisses",0,0.3,16.2,99,28,446
"Cheeses (includ-
 ing spread cheeses)",0.2,0,0.3,14,8,38
"Cream desserts,
puddings (milk based)",0.7,0.2,4.8,198,76,352
Sorbet/Water ice,0.3,0.3,13.1,45,32,53
"Cereals and cereal
Products",3.6,1.1,-,30,11,102
Bread,0.5,0.3,0.4,54,23,153
"Crispbread, rusks",0.2,0.1,0.8,19,7,75
Breakfast cereals,2.9,0.7,15.8,30,10,60
"Meat, meat
products and
Substitutes",1.5,1.3,-,61,9,151
Hot meat substitutes,1.1,1.1,63.8,77,13,162
Cold meat substitutes,0.4,0.2,79.6,11,6,31
"Fats and oils
Unclassified and
combined fats",39.5,24.8,-,10,1,36
Vegetable oils,0.2,0.1,0.6,6,1,22
Butter,0.2,0.1,0.9,6,1,23
"Margarines and
 cooking fats",36.1,23.3,35.9,10,1,37
"Other animal fats
(including fish oils)",0,0,0,4,4,4
Sugar and confectionery,2.1,1.3,-,12,3,38
"Jam, jelly and
Marmalade",0.2,0.2,1.2,35,11,91
"Other sweet
Spreads",0.4,0.2,5.6,6,3,12
