,No Foods,No Foods,Foods with LNCS,Foods with LNCS
Food Groups,Total,"Ingredient
Information",No,"% Within the
Food Group"
Total,4218,3558,330,9.3
Foods,3646,3016,171,5.7
Drinks,572,542,159,29.3
G1-Cereals-no free sugar,375,280,0,0
G2-Cereals-sweet derivatives,374,310,26,8.4
G3--Cheese and other dairy products,244,219,0,0
G4--Dairies and substitutes,570,509,87,17.1
G5-Fats and oils,36,30,0,0
"G6Fish,meat and seafood",623,357,0,0
"G7Fruits,legumes,nuts,seeds and vegetables",449,406,0,0
G8-Non-alcoholic drinks,376,351,146,41.6
G9Precooked and ready-to-eat food,246,242,0,0
G10-Sauces,174,165,4,2.4
G11-Snacks,285,232,6,2.6
G12-Sweets and chocolates,466,457,61,13.3
