Population Level,Target,Starting point,Level 2021
"A higher proportion has a diet
consistent with the dietary guidelines
of the Norwegian Directorate of Health",Increase the proportion,"Different needs for changes 
depending on the various 
Elements of dietary guidelines",
"Increased consumption
 of Vegetables","A 20 % increase in 
Consumption of
each of thefoodgroups",78 kg,94kg
"Increased consumption
Of Fruits and berries","A 20 % increase in 
Consumption of
each of thefoodgroups",90 kg,108kg
Increased consumption of Fish,"A 20 % increase in 
Consumption of
each of thefoodgroups",49 kg(whole),59kg
"Increased consumption 
Of Whole grain foods","A 20 % increase in 
Consumption of
each of thefoodgroups",Data lacking,
"Reduced dietary content
 Of Added sugar","Added sugar:11 percentage of
energy(E%)",13E%,
"Reduced dietary content 
Of Saturated fats","Saturated fat:12percentage of
energy(E%)",14E%,
Reduced dietary content of Salt,"Salt:22% reduction(15% by2018
and 50 % reduction in the long
Term)",Approx.10g per day,"Approx.10g per 
Day Approx.8"
Infants,,,
"Higher proportion of infants who are:
Higher proportion of infants who are
Exclusively breastfed
Higher proportion of infants who are
Breastfed","60% are exclusively
 Breastfed at 4mo.
24% are exclusively breastfed up
to 6 mo.
50%are breastfed at12mo.","44%
17%
35%",
Children and adolescents,,,
"Lower proportion of 15-year 
olds whoeat sweets
 5 times a week or more",50 % reduction,a) 17%,"a)8,5%"
"Lower proportion of 15-yea
R olds who drink soft drinks/sweetened
beverages once a week or more",50 % reduction,b) 19%,"b)9,5%"
"Higher proportion of 15-year olds who
daily (once or more) eat vegetables",50% increase,a) 32%,a)48%
"Higher proportion of 15-year olds who
daily (once or more) eat fruits",50% increase,b)36%,b)54%
"Higher proportion of 15-24 year olds
who eat fish for dinner at least once a week",20 % increase,a)71,a)85%
"Higher proportion of 15-24 year olds
who eat fish spread on bread (in sandwiches)
at least three times a week",20 % increase,"b) 7 % (tinned
mackerel in tomato
Sauce)",b)9%
"Higher proportion of 15-year olds who
eat breakfast every morning",30 % increase,59%,77%
"No increase in the proportion of
children and adolescents who are overweight",0%,a9)year olds:15%,
"No increase in the proportion of
children and adolescents who are overweight",0%,b17)yearolds:23%,
Other,,,
"Higher proportion are aware of the
dietary guidelines",80% are aware of the guidelines,46%,
"Higher proportion stating that
Keyhole labelling makes it easier for
them to choose healthier options","60 % answers “to a fairly large
extent” or “to a very large extent”",46%,
"Higher proportion stating that they are
interested in reducing their salt intake","80 % are interested 
In reducing salt intake",49.00%,
Increased number of Keyhole products,"Yearly increase in number of
Keyhole products",Figure in 2016:1419,
