Crop/crop groups,Genus/Genera,No. of high priority tax?
Brassicas,"Brassica L.  Guenthera Besser
 Raphanus L, Sinapis I",15
Carrot,Daucus L,13
Wheat,"Aegilops L.,Triticum L",11
Stonefruits,Prunus L,7
Broad/horse bean/Vetch,Vicia L,7
Leeks and other alliaceous vegetables,Allium L,6
Oat,Avena L,5
Flax,Linum L,4
Tarragon,Artemisia L,3
Azarole,Crataegus L,3
Pistachio,Pistacia L,3
Milkvetch,Astragalus L,2
Orach Spinach,Atriplex L,2
Sugarbeet,Beta L,2
Chicory/Endive,Cichorium L,2
Artichoke,Cynara L,2
Fennel,Foeniculum Mill,2
Juniper berries,Juniperus L,2
Lettuce,Lactuca L,2
Garden Cress,Lepidium L,2
Sorrel,Rumex L,2
Service-Apple,Sorbus L,2
Thyme,Thymus L,2
Grape-Wine,Vitis L,2
"Amaranth, Purple",Amaranthus L,1
Dill Seed,Anethum L,1
Chervil,Anthriscus Pers,1
Celery,Apium L,1
Tree-Strawberry,Arbutus L,1
Asparagus,Asparagus L,1
Capers,Capparis L,1
Carob,Ceratonia L,1
Chickpea,Cicer L,1
Watermelon,Citrullus Schrad,1
Coriander,Coriandrum L,1
Melon,Cucumis L,1
Cumin,Cuminum L,1
Orchard Grass,Dactylis L,1
Perennial Wall Rocket,Diplotaxis DC,1
Fig,Ficus L,1
Tree cotton,Gossypium L,1
Hyacinth Bean,Lablab Adans,1
Grass-Pea,Lathyrus L,1
Laurel,Laurus L,1
