,,,,"On a consumption 
day (users of these 
Fortified foods only)","On a consumption 
day (users of these 
Fortified foods only)","On a consumption 
day (users of these 
Fortified foods only)"
"Food groups and
Subgroups","% fortified foods
users within food
(sub-) groups on a
recall day","% consumed forti-
fied foods within
the total food
group (based on
g/d)","% consumed forti-
fied foods within
the total subgroup
(based on g/d)","Median fortified
food consumption
users
(g/day)","P5 fortified food
consumption
users
(g/day)","P95 fortified food
consumption users
(g/day)"
"Syrup (incl. From
can and for
Beverages)",1.1,0.7,36.3,12,4,27
"Chocolate spread
and chocolate
Powder",0.4,0.2,3.5,9,1,25
"Confectionery
Non-chocolate",0.1,0.1,0.3,25,25,41
"Cakes and sweet
Biscuits",2.8,3.1,-,38,13,73
"Cakes, pies,Pastries 
And puddings (non-
Milk)",0.1,0.1,0.2,28,25,66
"Dry cakes, sweet
Biscuits",2.7,3,5,38,13,69
"Non-alcoholic
Beverages",20.3,4.8,-,217,15,843
"Fruit and vegetable 
Juices",1.2,0.2,5,208,96,490
"Carbonated-,
Soft-isotonic drinks",19.2,4.6,17.4,216,12,850
"Condiments,
spices, sauces and yeast",0.9,1.1,-,11.6,1,45
"Other and mixed
Sauces",0.7,0.6,3.5,24,2,46
"Dressing sauces.
Mayonnaises,etc",0.1,0,0.2,10,4,37
"Unclassified and 
Combined condiments",0.2,0,0.4,1,1,4
Miscellaneous,0.1,0.7,-,48,17,117
"Vegetarian prod-
ucts/dishes",0.1,0.7,100,48,17,117
