Compound,untreated,NPs,NPs,NPs,0.025 mg/L Se,0.05 mg/L Se,0.1 mg/L Se,KSiO,KSiO5,2 mg/L KSiO
Catechol,ND*,8.22,ND,ND,ND,12.3,ND,ND,ND,ND
Syringic acid,6.13,5.14,13.3,4.66,11.26,ND,8.66,4.66,4.11,2.69
acid,6.77,ND,9.55,ND,ND,9.22,9.56,ND,ND,ND
Benzoic acid,5.98,9.66,ND,5.47,ND,ND,ND,5.98,ND,ND
Caffeic acid,ND,4.15,3.25,7.88,12.06,ND.,ND,ND,ND.,10.77
Pyrogallol,10.23,ND,ND,2.19,5.16,ND,12.39,2.74,12.69,ND
Gallic acid,9.44,5.04,ND,12.44,ND,ND,ND,ND,2.06,3.49
Ferulic acid,3.12,ND,6.12,ND,13.09,5.12,4.16,ND,ND,11.97
Salicylic acid,ND,6.18,6.23,ND,ND,11.45,3.88,12.44,3.26,ND
Cinnamic acid,19.36,14.33,5.14,3.69,4.36,ND,ND,3.19,ND,0.87
Ellagic acid,ND,4.19,ND,ND,ND,18.33,7.69,ND,ND,ND
