,,,Height-for-age,Height-for-age,Height-for-age,Height-for-age,Height-for-age
,,,Model 1‡,Model 1‡,Model 2§,Model 2§,
Class,Adjusted for,Association,Standardised mean diff,95%CI,Standardised mean diff,95%CI,"FaxHIV
Interaction"
SFA,Stearic,Q1 v. Q3,0·49,"0.00,0.55",,"0.04,0.50",0.69
,Behenic,Q2 v. Q3,0·27,"007,0.76*",0.34,"000,068*",0.14
,,Q1 v. Q4,0·42,"0-20,052",0.13,"-0.23,0.49",
,,Q2 v. Q4,0·16,"0.06,0.59",0.2,"013,0.53",
,,Q3 v. Q4,0·27,"008,0.57",0.28,"0.04,0.59",
,,Q2 v. Q3,0·24,38021,-0.14,44015,0.22
n-3,DHA,Q1 v. Q2–4,−0·09,"095, -026*",0.47,"082,-012*",0.49
n-6,Linoleic,"Q1, 2 v. Q4",−0·60,50016,-0.11,"0.43,0.22",
,,Q3 v. Q4,−0·17,14055,0.09,"025, 0.43",0.43
,GLA,Q1 v. Q4,0·21,"005,0.70*",0.23,"008,0.54",
,,Q2 v. Q4,0·37,"0.03,0.68*",0.23,"009,0.54",
,,Q3 v. Q4,0·36,"007,081*",0.08,30046,0.45
,DGLA,Q1 v. Q4,0·44,10055,-0.06,"039, 026",
,,Q2 v. Q4,0·22,"0.15,0.52",-0.1,"043, 023",
,,Q3 v. Q4,0·18,"028,0.41",-0.09,"0.45,0.28",0.62
,Arachidonic,Q1 v. Q4,0·07,"0.02,0.76*",0.26,"010,0.62",
,,Q2 v. Q4,0·39,16051,0.13,"020, 0.46",
,,Q3 v. Q4,0·17,"010,0.75*",0.25,"-007,0.57",0.82
,DTA,Q1 v. Q4,0·43,"0.30,0.33",-0.11,41020,
,,Q2 v. Q4,0·02,24050,-0.05,"0.41,030",
,,Q3 v. Q4,0·13,37041,0.05,"042, 033",0.45
Totals,Total n-3,Q1 v. Q4,0·02,30037,0.04,"028,0.36",
,Total PUFA,Q2 v. Q4,0·04,"0.36,0.38",0.02,"0.33,0.37",
,,Q3 v. Q4,0·01,"061,-013*",-0.33,"056,-009*",0.79
,Total n-6,"Q1,2 v. Q3,4",−0·37,"0.79,-0.06*",0.33,"0.65,-0.01*",0.71
,Total PUFA,Q1 v. Q4,−0·42,"-0.77,-0.02*",-0.39,"-071,-008*",
,,Q2 v. Q4,−0·39,"0.45,034",0.03,"040, 034",
,,Q3 v. Q4,−0·06,15051,0.17,15050,0.63
,Total MUFA,Q1 v. Q4,0·18,"0.15,0.81*",0.44,"0.08,0.80",
,,Q2 v. Q4,0·48,"027,0-35",0.02,"027, 031",
,,Q3 v. Q4,0·04,"0.09,0.67*",0.31,"0.03,0.60*",0.98
,Total SFA,Q1 v. Q3,0·38,"008,0.57",0.28,"004,0.59",
,,Q2 v. Q3,0·24,4064,0.22,11055,0.24
n-9,Oleic,Q1 v. Q4,0·30,"0.01,0.75*",0.34,"-0.02,0.69",
,,Q2 v. Q4,0·38,3058,0.21,"010,0.51",
,,Q3 v. Q4,0·27,"018,0.89*",0.38,"002,074*",0.68
,Mead acid,Q1 v. Q4,0·54,"013,0.50",0.05,"028,0.37",
,,Q2 v. Q4,0·19,"032, 0-36",-0.03,"036, 031",
,,Q3 v. Q4,0·02,"007,077*",0.27,"008,0.63",0.53
Ratios,T/T ratio,Q1 v. Q4,0·42,"015,0.57",0.09,"026,0.21",
,,Q2 v. Q4,0·21,"0.40,029",-0.13,47021,
,,Q3 v. Q4,−0·05,"044, 032",0.04,33041,0.64
,n-6/n-3 ratio,Q1 v. Q4,−0·07,"045, 032",0.01,"037, 038",
,,Q2 v. Q4,−0·06,"036, 034",0.05,"029, 038",
,,Q3 v. Q4,−0·01,,,,
