,0,1,2,3,4,5
0,,"Female n=(21,489)","Female n=(21,489)",,"Male (n=14,248)",
1,Variable,Normal Weight,Overweight/,Normal Weight,Overweight/,Overweight/
2,Variable,"n =16,144)",Obese (n = 5345),"n=10,377)",Obesen=3871),Obesen=3871)
3,,,Frequency (%),,,
4,,,(95% CI),,,
5,,, School Type,,,
6,Public,75.00,72.33,75.76,,65.15
7,Public,(71.82; 78.19),(68.81; 75.84),(72.57; 78.96) a,"(61.09; 69,21) a","(61.09; 69,21) a"
8,Private,25.00,27.67,24.24,,34.85
9,Private,(21.81; 28.18),(24.16; 31.19),(21.04; 27.43) b,(30.79; 38.91) b,(30.79; 38.91) b
10,,,Residence Area,,,
11,Capital,74.23,72.4,73.94,,73.62
12,Capital,(72.85; 75.60),(70.68; 74.20),(72.35; 75.54),(71.62; 75.62),(71.62; 75.62)
13,Countryside,25.77,27.56,26.06,,26.38
14,Countryside,(24.40; 27.15),(25.80; 29.32),(24.46; 27.65),(24.38; 28.38),(24.38; 28.38)
15,,,Physical activity level 1,,,
16,Inactive,26.60,23.33,9.88,,10.22
17,Inactive,25.80; 27.41) c,(22.10; 24.55) c,(9.23;10.52),(9.21; 11.23),(9.21; 11.23)
18,Insufficiently,33.40,32.11,26.44,,28.52
19,active,(32.58; 34.21),(30.80; 33.42),(25.42; 27.45),(26.96; 30.07),(26.96; 30.07)
20,Active,40.00,44.56,63.69,,61.26
21,Active,(39.17; 40.84) d,(43.17; 45.95) d,(62.59; 64.81),(59.64; 62.89),(59.64; 62.89)
22,,,Mean (95% CI),,,
23,Age (years),14.74,14.47,14.72,,14.38
24,Age (years),(14.6514.83),(14.37-14.58),(14.6214.81) e,(14.2714.48) e,(14.2714.48) e
25,Daily GI,59.35,59.14,59.53,,59.21
26,Daily GI,(59.2459.46),(58.9859.31),(59.3959.67),(59.0259.39),(59.0259.39)
27,Average GI,59.17,59.12,59.50,,59.18
28,Average GI,(59.0559.28),(58.9559.29),(59.35-59.65),(58.9859.37),(58.9859.37)
29,Daily GL,165.22,140.61,194.86,,164.94
30,Daily GL,(163.40167.04) f,(138.30142.91) f,(192.52-197.19) g,(162.05-167.83) g,(162.05-167.83) g
31,Average GL,37.92,34.29,45.27,,40.63
32,Average GL,(37.5538.29) h,(33.7534.83) h,(44.7745.76) i,(39.9741.30) i,(39.9741.30) i
33,Glucose,84.45,85.26,86.80,,88.04
34,(mg/dL) 2,(84.2584.66) i,(84.9585.58) j,(86.5787.03) k,(87.7188.37) k,(87.7188.37) k
35,Glycosylated,5.33,5.38,5.40,,5.42
36,hemoglobin (%),(5.335.34) l,(5.375.39) 1,(5.395.41),(5.405.43),(5.405.43)
37,Insulin (mU/L) 4,8.71,13.20,7.10,,12.04
38,Insulin (mU/L) 4,(8.59-8.84) m,(12.9113.48) m,(6.997.22) n,(11.7412.34) n,(11.7412.34) n
39,HOMA-IR 5,1.84,2.82,1.54,,2.66
40,HOMA-IR 5,(1.811.87) o,(2.752.89) o,(1.521.57) P,(2.582.73) P,(2.582.73) P
