,0,1,2,3,4
0,Accession,Ploidyz,Genome size 2C (pg)  sEM,Ht (cm),Width (cm)
1,12-0018-002,2x,1.22  0.01,76.2,66.0
2,12-0018-003,2x,1.21  0.01,53.3,55.9
3,12-0018-005,2x,1.25 0.01,33.0,66.0
4,12-0018-007,2x,1.18  0.01,40.6,76.2
5,12-0018-011,2x,1.25  0.01,30.5,55.9
6,12-0018-012,2x,1.22  0.01,33.0,50.8
7,12-0018-015,4x,2.40 0.03,30.5,30.5
8,12-0018-020,2x,1.23  0.00,50.8,45.7
9,12-0018-021,2x,1.23  0.02,35.6,43.2
10,12-0018-023,4x,2.48  0.01,15.2,35.6
11,12-0018-026,2x+4x,1.22 0.012.49  0.03,33.0,30.5
12,12-0018-027,2x+4x,1.25  0.05 2.52  0.08,12.7,35.6
13,12-0018-028,2x,1.19 0.04,33.0,55.9
14,12-0018-030,4x,2.59  0.04,17.8,35.6
15,12-0018-031,2x+4x,1.26  0.01 2.59  0.02,25.4,38.1
16,12-0018-035,2x+4x,1.26  0.002.56 0.02,60.9,45.7
17,12-0018-040,2x,1.22  0.00,35.6,38.1
18,12-0018-052,2x+4x,1.130.012.280.03,43.2,63.5
19,12-0018-058,2x+4x,1.26  0.02 2.60  0.03,38.1,25.4
20,12-0018-061,2x+4x,1.210.00|2.460.01,30.5,35.6
21,12-0018-063,4x,2.53  0.02,15.2,48.3
22,12-0018-064,4x,2.52  0.02,38.1,35.6
23,12-0018-065,4x,2.48  0.04,22.9,22.9
24,12-0018-066,4x,2.47  0.03,38.1,53.3
25,12-0018-070,2x,1.25  0.01,60.9,40.6
26,12-0018-072,2x,1.20 0.05,53.3,38.1
27,12-0018-073,4x,2.56  0.03,25.4,27.9
28,12-0018-078,4x,2.55  0.06,22.9,30.5
29,12-0018-084,4x,2.58  0.03,33.0,33.0
30,12-0018-088,2x,1.25  0.00,22.9,45.7
31,12-0018-089,4x,2.51  0.04,25.4,40.6
32,12-0018-095,4x,2.51  0.02,38.1,45.7
33,12-0018-096,4x,2.51  0.02,30.5,30.5
34,12-0018-098,2x,1.25 0.01,55.9,30.5
35,12-0018-100,2x,1.24  0.00,55.5,53.3
36,12-0018-101,4x,2.51 0.04,30.5,25.4
37,12-0018-107,2x,1.29  0.00,50.8,55.9
38,12-0018-108,4x,2.62  0.04,27.9,40.6
39,12-0018-112,4x,2.39  0.02,12.7,20.3
40,12-0018-121,2x,2.52  0.03,38.1,55.9
41,12-0018-124,4x,2.52  0.03,27.9,40.6
42,12-0018-128A,2x,1.21 0.03,40.6,53.3
43,12-0018-128B,4x,2.540.03,22.9,40.6
44,12-0018-130,4x,2.48 0.02,33.0,60.9
45,12-0018-137,4x,2.57  0.02,27.9,38.1
46,12-0018-144,4x,2.40  0.02,25.4,33.0
47,12-0018-145,2x,1.20 0.01,45.7,43.2
48,12-0018-147,4x,2.44  0.02,20.3,35.6
49,12-0018-148,4x,2.52  0.03,25.4,27.9
50,12-0018-159,4x,2.48  0.02,38.1,38.1
51,12-0018-163,2x,1.21  0.02,55.9,55.9
52,12-0018-165,2x,1.23  0.02,45.7,60.9
53,12-0018-171,2x,1.22  0.01,48.3,66.0
54,12-0018-173,2x,1.21  0.02,35.6,63.5
55,12-0018-176,2x,1.250.01,55.9,58.4
56,12-0018-177,2x+ 4x,1.23  0.03 2.57  0.03,76.2,50.8
57,12-0018-178,2x,1.130.04,22.9,43.2
