,0,1,2,3,4
0,,,Tertiles of total VHEl score,,
1,Socio-demographic,T1,T2,T3,
2,characteristics*,(n 2742),(n 2742),n 2741),P-valuet
3,Regions (%),,,,<0.001
4,Red River delta,13.5,19.7,28.8,
5,Northern midlands,13.6,19.3,18.0,
6,and mountain areas,,,,
7,Northern and central,33.2,25.3,17.0,
8,coastal areas,,,,
9,Central highland,7.1,4.9,4.1,
10,Southeast,7.6,11.6,18.4,
11,Mekong River delta,25.0,19.2,13.7,
12,Household income (%),,,,<0-001
13,Lowest,22.9,15.0,10.0,
14,Second,24.8,21.0,11.5,
15,Third,19.4,22.8,19.4,
16,Fourth,19.9,23.2,23.4,
17,Highest,13.0,18.0,35.7,
