,0,1,2,3,4,5,6,7
0,,,,,on aeosunbuoa,,useisorun,
1,Food groups and,% fortified foods,% consumed forti-,% consumed forti-,Median fortified,,P5 fortified food,P95 fortified food
2,subgroups,users within food,fied foods within,fied foods within,food consumption,consumption,consumption,consumption users
3,,(sub-) groups on a,the total food,the total subgroup,users,users,users,g/day)
4,,recall day,group (based on,(based on g/d),(g/day),(g/day),(g/day),
5,,,g/d),,,,,
6,Syrup (incl. from,1.1,0.7,36.3,12,4,,27
7,can and for,,,,,,,
8,beverages),,,,,,,
9,Chocolate spread,0.4,0.2,3.5,9,1,,25
10,and chocolate,,,,,,,
11,powder,,,,,,,
12,Confectionery,0.1,0.1,0.3,25,25,25,41
13,non-chocolate,,,,,,,
14,Cakes and sweet,2.8,3.1,,38,13,13,73
15,biscuits,,,,,,,
16,"Cakes, pies,",0.1,0.1,0.2,28,25,25,66
17,pastries and,,,,,,,
18,puddings (non-,,,,,,,
19,milk),,,,,,,
20,"Dry cakes, sweet",2.7,3.0,5.0,38,13,13,69
21,biscuits,,,,,,,
22,Non-alcoholic,20.3,4.8,,217,15,15,843
23,beverages,,,,,,,
24,Fruit and vegeta,1.2,0.2,5.0,208,96,96,490
25,ble juices,,,,,,,
26,"Carbonated-,",19.2,4.6,17.4,216,12,12,850
27,soft-isotonic,,,,,,,
28,drinks,,,,,,,
29,"Condiments,",0.9,1.1,,11.6,1,,45
30,"spices, sauces",,,,,,,
31,and yeast,,,,,,,
32,Other and mixed,0.7,0.6,3.5,24,2,,46
33,sauces,,,,,,,
34,Dressing sauces.,0.1,0.0,0.2,10,4,4,37
35,"mayonnaises,",,,,,,,
36,etc,,,,,,,
37,Unclassified,0.2,0.0,0.4,1,1,,4
38,and combined,,,,,,,
39,condiments,,,,,,,
40,Miscellaneous,0.1,0.7,,48,17,17,117
41,Vegetarian prod-,0.1,0.7,100,48,17,17,117
42,ucts/dishes,,,,,,,
