,0,1,2,3,4,5,6,7
0,Aroma Compounds,Aroma Compounds,Descriptor,Precursors,Mechanization,Varieties,References,Impact
1,,,,,,,Jouanneau(2011),
2,,,,,,,Allen et al. (2011),Increased
3,,3-Mercaptohexanol,,L-cysteine,Mechanical,,[20],3MH and
4,,(3MH or 3SH);,"Passion fruit,",L-cysteine,harvesting,Sauvignon blanc,Herbst-Johnstone,3MHA in both
5,Varietal thiols,3-mercaptohexyl,Grapefruit,Cys-3MH);,harvesting,,et al.2013[21],berries and
6,Varietal thiols,acetate (3MHA or,Grapefruit,glutathione,,,Olejar et al.2015,wines
7,,3SHA),,(Glut-3MH),,,[22],
8,,,,,Mechanical leaf,Sauvignon blanc,Bubola et al.2019,Increased
9,,,,,removal,Sauvignon blanc,[32],3MH in wines
10,Methoxypyrazine,IBMP,Bell pepper,Leucine,shoot thinning,Syrah,Brillante et al.,IBMP in wines
11,Methoxypyrazine,IBMP,Bell pepper,Leucine,and deficit,Syrah,(2018[45],IBMP in wines
12,,,,,irrigation,,,
13,,,,,Mechanical leaf,Sauvignon blanc,Bubola et al.(2019),Damascenone
14,C13-,,,Glycosylated,removal,Sauvignon blanc,[32],in wines
15,norisoprenoid,-Damascenone,"Cooked apple,",aroma,,,,in wines
16,norisoprenoid,-Damascenone,"quince, floral",compound,Mechanical,,Hendrickson et al.,Increased -
17,,,,,harvesting with,Pinot noir,(2016)[12],Damascenone
18,,,,,optical sorting,,(2016)[12],in wines
19,,,,,Mechanical,,,Reduced C
20,Alcohols,C6 Alcohol,"Grass, green",Linoleic acid and,and deficit,Syrah,Brillante et al.,alcohol in
21,Alcohols,C6 Alcohol,"Grass, green",linolenic acid,and deficit,Syrah,2018[45],wines
22,,,,,irrigation,,,wines
23,,,,,Mechanical leaf,,Bubola et al.2019,Increased
24,,Nerol,"Rose,citrus",Glycosylated,removal,Sauvignon blanc,[32],in wines
25,Monoterpenes,Geraniol,Floral,aroma,,,,in wines
26,,-terpinene,Floral,compound,Mechanical,,Hendrickson et al.,Increased
27,,-terpinene,,,harvesting with,Pinot noir,2016 [12],-terpinene in
28,,,,,optical sorting,,2016 [12],berries
