,0,1,2,3,4
0,,N,Total,Men,Women
1,"Diet regimen (n, %)",204,,,
2,"Yes,always",,35 (17),4(7),31 (21)
3,"Yes, sometimes",,24 (12),6 (11),18 (12)
4,Never,,145 (71),45 (82),100 (67)
5,Number of complete dietary,,,,
6,"data collections (n,%)",,,,
7,2hR-day 1,214,591 (92),158 (88),433 (94)
8,WB-24hR,167,474 (90),126 (88),348 (91)
9,TB-24hR,39,117 (98),33 (92),84 (100)
10,Linked 24-h urine collections,66,238 (86),73 (83),165 (88)
11,Blood sample,66,138 (100),44 (100),94 (100)
12,Random 2hRs,212,4669 (96),1322 (95),3347 (96)
13,FFQ,212,204 (96),55 (92),149 (98)
14,Eetscore,203,192 (95),54 (98),138 (93)
15,Mean System Usability Score (SD,190,72 (14),73 (15),72 (13)
