,0,1,2,3,4
0,sL1ic j1 ou1L SsY wwI SySL AV. cXBu,sL1ic j1 ou1L SsY wwI SySL AV. cXBu,,,
1,,,,,".[tr,t1]"
2,,,cXSY a1u>Bw j1-r-r,,cXSY a1u>Bw j1-r-r
3,,[l]xCgLALo7j1sy,1/91Jsleo,,1/91Jsleo
4,oslelcSjleicSllgaclsa,oslelcSjleicSllgaclsa,,,
5,,,,a,
6,,,Fig 2 The antifungal activity of Pediococcus,,
7,,,pentosaceus againstAspergillus niger(b) in,,
8,,,comparison with control sample (a),,
9,ULI[EV] y1WUyELumi9GSL8y,ULI[EV] y1WUyELumi9GSL8y,j(ro1LgJin,,j(ro1LgJin
10,,,Sjleicsolgcasasljlolugaljla,,Sjleicsolgcasasljlolugaljla
11,[iA]uy1 1 1sWw cWEL wy UsS sgbu sL1y,[iA]uy1 1 1sWw cWEL wy UsS sgbu sL1y,,,
12,,,[it]usswgswolsgi,,[it]usswgswolsgi
13,,,a1L ro S3 x wU. L (r.y.) o1Kas g Gerez,,a1L ro S3 x wU. L (r.y.) o1Kas g Gerez
14,bwgawluocuyalajlaglslocg,bwgawluocuyalajlaglslocg,,,
15,WgxyJlgjl[oE9]usWyLssLil,WgxyJlgjl[oE9]usWyLssLil,,,
16,,,[Eo] s15 OLW sy j1 SgUb cyBW Cmob,,[Eo] s15 OLW sy j1 SgUb cyBW Cmob
17,,, (rolK Muhialdin,, (rolK Muhialdin
18,29. Eurotium rubrum,,,,
